Year,Tickets Sold,Total Box Office,Total Inflation Adjusted Box Office,Average Ticket Price
2019,1097737556,9846705877,9846705877,8.97
2018,1343070792,12047347741,12047347867,8.97
2017,1225524720,10992959545,10992959664,8.97
2016,1291731663,11259213129,11586833074,8.65
2015,1289902170,11155102984,11570422578,8.43
2014,1257399140,10272966196,11278870299,8.17
2013,1339241669,10888057844,12012997769,8.13
2012,1402603148,11164723987,12581350217,7.96
2011,1196322668,10173333767,10731014500,7.93
2010,1209352777,10482254025,10847894581,7.89
2009,1260734366,10639257284,11308764272,7.5
2008,1153585816,9750739371,10347664950,7.18
2007,1382337785,9769854914,12399569977,6.88
2006,1398738283,9161738221,12546682412,6.55
2005,1372979359,8800805718,12315624862,6.41
2004,1495642256,9287940363,13415911048,6.21
2003,1524299882,9191530167,13672969943,6.03
2002,1575738917,9155044904,14134378110,5.81
2001,1476198631,8355374308,13241501739,5.66
2000,1397457536,7532309928,12535194096,5.39
1999,1444688664,7339019709,12958857317,5.08
1998,1443141334,6771554637,12944977760,4.69
1997,1385218935,6358155799,12425413847,4.59
1996,1310014086,5790263038,11750787998,4.42
1995,1221689691,5314350848,10958556531,4.35
